,pre-arch,pre-db,pre-layer,pre-fsize,eeg-arch,eeg-sampling,instance,s01,s02,s03,s04,s05,s06,s07,s08,s09,s10,avg
0,ViT-B-16,laion2b_s34b_b88k,visual,512,atm,concept,0,0.2475,0.2825,0.20500000000000002,0.2575,0.2575,0.22749999999999998,0.2375,0.2425,0.23249999999999998,0.375,0.2565
1,ViT-B-16,laion2b_s34b_b88k,visual,512,atm,image,0,0.215,0.245,0.16499999999999998,0.24,0.1375,0.175,0.2,0.2125,0.1975,0.32999999999999996,0.21174999999999997
2,ViT-B-16,laion400m_e31,visual-language,1024,atm,concept,0,0.26,0.3025,0.1925,0.29000000000000004,0.215,0.235,0.2375,0.23249999999999998,0.2375,0.3775,0.25799999999999995
3,ViT-B-16,laion400m_e31,visual-language,1024,nice,concept,0,0.2525,0.2575,0.2025,0.2575,0.1725,0.2225,0.2,0.2,0.235,0.41000000000000003,0.24100000000000002
4,ViT-B-16,laion400m_e31,visual,512,atm,concept,0,0.245,0.27249999999999996,0.21500000000000002,0.2475,0.21500000000000002,0.225,0.23249999999999998,0.2425,0.23249999999999998,0.38749999999999996,0.25149999999999995
5,ViT-B-16,laion400m_e31,visual,512,atm,image,0,0.22749999999999998,0.245,0.16499999999999998,0.2475,0.1925,0.165,0.1875,0.195,0.19,0.3075,0.21225
6,ViT-B-16,laion400m_e31,visual,512,nice,concept,0,0.27,0.2875,0.1975,0.255,0.2175,0.215,0.1975,0.2225,0.2225,0.4,0.2485
7,ViT-B-16,laion400m_e31,visual,512,nice,image,0,0.29000000000000004,0.25,0.21000000000000002,0.2475,0.21000000000000002,0.2425,0.20500000000000002,0.2125,0.22499999999999998,0.375,0.24675000000000002
8,ViT-B-16,openai,visual,512,atm,concept,0,0.185,0.295,0.1775,0.2525,0.23,0.2025,0.1925,0.235,0.195,0.3325,0.22975000000000004
9,ViT-B-16,openai,visual,512,atm,image,0,0.2175,0.22999999999999998,0.155,0.20500000000000002,0.15000000000000002,0.19,0.18,0.21000000000000002,0.2025,0.26,0.2
10,ViT-B-32,laion400m_e31,visual-language,1024,atm,concept,0,0.2475,0.28,0.20750000000000002,0.26,0.2375,0.25,0.245,0.245,0.2675,0.39249999999999996,0.26325000000000004
11,ViT-B-32,laion400m_e31,visual-language,1024,atm,image,0,0.22999999999999998,0.25,0.16999999999999998,0.26749999999999996,0.1275,0.195,0.19,0.2175,0.195,0.31,0.21525
