,pre-arch,pre-db,pre-layer,pre-fsize,eeg-arch,eeg-sampling,instance,s01,s02,s03,s04,s05,s06,s07,s08,s09,s10,avg
0,EVA02-L-14-336,merged2b_s6b_b61k,visual,768,atm,concept_s,0,0.135,0.1525,0.16749999999999998,0.23249999999999998,0.1225,0.1825,0.1825,0.2175,0.1875,0.2025,0.17825000000000002
1,RN101,clip,block4,2048,atm,concept_s,0,0.21000000000000002,0.16999999999999998,0.15250000000000002,0.255,0.1225,0.185,0.2075,0.22499999999999998,0.19,0.2425,0.196
2,RN50-quickgelu,openai,visual,1024,atm,concept_s,0,0.1975,0.155,0.1825,0.2925,0.13,0.1825,0.1775,0.24,0.205,0.23249999999999998,0.1995
3,RN50,clip,block1,256,atm,concept_s,0,0.04,0.035,0.05,0.065,0.045,0.05,0.0425,0.0625,0.045,0.057499999999999996,0.04925
4,RN50,clip,block2,512,atm,concept_s,0,0.0775,0.065,0.075,0.0775,0.0675,0.07,0.07250000000000001,0.08249999999999999,0.06,0.0675,0.0715
5,RN50,clip,block3,1024,atm,concept_s,0,0.1175,0.09,0.11499999999999999,0.125,0.105,0.0975,0.1125,0.1275,0.1175,0.11,0.11175000000000002
6,RN50,clip,block4,2048,atm,concept_s,0,0.2175,0.15250000000000002,0.1975,0.27,0.14500000000000002,0.1975,0.1975,0.26,0.2175,0.20750000000000002,0.20625
7,RN50,clip,visual,1024,atm,concept_s,0,0.2025,0.145,0.185,0.27,0.1175,0.2125,0.195,0.2425,0.2,0.22999999999999998,0.19999999999999998
8,RN50,openai,visual,1024,atm,image,0,0.175,0.1325,0.175,0.2,0.095,0.16999999999999998,0.175,0.21,0.1175,0.21,0.16599999999999998
9,RN50,openai,visual,1024,atm,concept_s,0,0.1825,0.16999999999999998,0.1725,0.27,0.1325,0.2,0.16499999999999998,0.2625,0.1875,0.24,0.19824999999999998
10,RN50,yfcc15m,visual,1024,atm,concept_s,0,0.155,0.1675,0.1675,0.22,0.1375,0.2,0.16999999999999998,0.205,0.175,0.16999999999999998,0.17675
11,RN50x64,clip,block4,4096,atm,concept_s,0,0.175,0.18,0.16499999999999998,0.2675,,,,,,,0.19687500000000002
12,ViT-B-16,laion2b_s34b_b88k,visual,512,atm,image,0,0.1875,0.1575,0.1775,0.2575,0.13,0.175,0.2075,0.26249999999999996,0.195,0.1825,0.19325
13,ViT-B-16,laion2b_s34b_b88k,visual,512,atm,concept_s,0,0.20500000000000002,0.185,0.2175,0.3,0.1325,0.2175,0.2,0.28500000000000003,0.2025,0.2375,0.21824999999999997
14,ViT-B-16,laion400m_e31,language,512,atm,concept_s,0,0.155,0.1575,0.16,0.22499999999999998,0.10750000000000001,0.1575,0.15500000000000003,0.20750000000000002,0.16749999999999998,0.16,0.16525
15,ViT-B-16,laion400m_e31,visual-language,1024,atm,concept_s,0,0.26,0.195,0.21999999999999997,0.305,0.1725,0.2525,0.21999999999999997,0.295,0.24,0.2625,0.24225000000000002
16,ViT-B-16,laion400m_e31,visual-language,1024,nice,concept_s,0,0.21999999999999997,0.18,0.225,0.255,0.1575,0.24,0.20500000000000002,0.3175,0.2175,0.255,0.22724999999999995
17,ViT-B-16,laion400m_e31,visual,512,atm,image,0,0.1975,0.15999999999999998,0.1775,0.2525,0.1275,0.1925,0.255,0.265,0.16999999999999998,0.235,0.20325
18,ViT-B-16,laion400m_e31,visual,512,atm,concept_s,0,0.235,0.19,0.2175,0.27749999999999997,0.18,0.2,0.225,0.2975,0.225,0.245,0.22925
19,ViT-B-16,openai,visual,512,atm,image,0,0.125,0.13,0.1325,0.19,0.07,0.1525,0.15999999999999998,0.16,0.13,0.1825,0.14325000000000002
20,ViT-B-16,openai,visual,512,atm,concept_s,0,0.1625,0.1925,0.1725,0.2775,0.1175,0.19,0.185,0.255,0.16,0.22,0.19324999999999998
21,ViT-B-32,laion400m_e31,visual-language,1024,atm,concept_s,0,0.215,0.1925,0.24,0.315,0.14250000000000002,0.2475,0.24,0.275,0.24,0.235,0.23424999999999999
22,ViT-B-32,laion400m_e31,visual,512,atm,image,0,0.20750000000000002,0.1925,0.21,0.275,0.11750000000000001,0.1825,0.21250000000000002,0.28,0.165,0.22749999999999998,0.207
23,ViT-B-32,laion400m_e31,visual,512,atm,concept_s,0,0.21,0.2,0.21000000000000002,0.2675,0.1475,0.21500000000000002,0.22749999999999998,0.28,0.22999999999999998,0.22499999999999998,0.22125000000000003
24,ViT-B-32,openai,visual,512,atm,image,0,0.16999999999999998,0.125,0.1375,0.2,0.1,0.13,0.1575,0.21,0.13,0.1975,0.15575
25,ViT-B-32,openai,visual,512,atm,concept_s,0,0.1775,0.18,0.16749999999999998,0.285,0.1125,0.185,0.20500000000000002,0.25,0.1775,0.2175,0.19575
26,ViT-H-14-378-quickgelu,dfn5b,visual,1024,atm,concept_s,0,0.1975,0.175,0.20500000000000002,0.28500000000000003,0.14250000000000002,0.1775,0.19,0.275,0.205,0.1975,0.205
27,ViT-H-14,laion2b_s32b_b79k,language,1024,atm,image,0,0.1375,0.155,0.11750000000000001,0.1875,0.1,0.125,0.15,0.175,0.125,0.14500000000000002,0.14175
28,ViT-H-14,laion2b_s32b_b79k,visual-language,2048,atm,image,0,0.195,0.14500000000000002,0.18,0.245,0.1275,0.18,0.16749999999999998,0.24,0.1575,0.2175,0.1855
29,ViT-H-14,laion2b_s32b_b79k,visual-language,2048,atm,concept_s,0,0.22,0.21,0.2025,0.26,0.1575,0.22999999999999998,0.245,0.275,0.21500000000000002,0.2425,0.22575000000000003
30,ViT-H-14,laion2b_s32b_b79k,visual-language,2048,atm,concept_s,1,0.2,0.195,0.225,0.2925,0.1725,0.22999999999999998,0.21000000000000002,0.2925,0.215,0.24,0.22725
31,ViT-H-14,laion2b_s32b_b79k,visual-language,2048,nice,concept_s,0,0.14750000000000002,0.1375,0.195,0.2625,0.14500000000000002,0.1875,0.20750000000000002,0.26749999999999996,0.1825,0.20500000000000002,0.19375
32,ViT-H-14,laion2b_s32b_b79k,visual,1024,atm,image,0,0.16499999999999998,0.13,0.1375,0.22999999999999998,0.11249999999999999,0.16499999999999998,0.1775,0.2375,0.1575,0.19,0.17024999999999998
33,ViT-H-14,laion2b_s32b_b79k,visual,1024,atm,image,1,0.16499999999999998,0.1375,0.1525,0.235,0.1125,0.16499999999999998,0.1775,0.2525,0.17,0.195,0.17625
